"Data e ora";"Pressa 0: Energia Reattiva positiva - kVarh";"Pressa 0.5: Energia Reattiva positiva - kVarh";"Pressa 1-2-3-4-5-6: Energia Reattiva positiva - kVarh";"QG Espansori: Energia Reattiva positiva - kVarh";"QG Locale Pompe: Energia Reattiva positiva - kVarh";"QG Centrale Termica: Energia Reattiva positiva - kVarh";"QG Compressori: Energia Reattiva positiva - kVarh";"QG Impianto macinatura: Energia Reattiva positiva - kVarh";"Pressa 7: Energia Reattiva positiva - kVarh";"Pressa 8: Energia Reattiva positiva - kVarh";"Pressa 9: Energia Reattiva positiva - kVarh";"QG Impianto di Taglio: Energia Reattiva positiva - kVarh";"Imp. Automazione: Energia Reattiva positiva - kVarh";"PDC Uffici: Energia Reattiva positiva - kVarh";"Uffici: Energia Reattiva positiva - kVarh"
"01/10/2023  02:00";49775,61;50026,38;25112,68;7647,55;255132,9;19096,66;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,1;13472,21;8192,9
"01/10/2023  02:15";49775,61;50026,49;25112,68;7647,55;255132,9;19096,68;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,13;13472,21;8192,9
"01/10/2023  02:30";49775,61;50026,61;25112,68;7647,55;255132,9;19096,7;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,15;13472,21;8192,9
"01/10/2023  02:45";49775,61;50026,72;25112,68;7647,55;255132,9;19096,72;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,18;13472,21;8192,9
"01/10/2023  03:00";49775,61;50026,83;25112,68;7647,55;255132,9;19096,74;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,2;13472,21;8192,9
"01/10/2023  03:15";49775,61;50026,95;25112,68;7647,55;255132,9;19096,76;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,23;13472,21;8192,9
"01/10/2023  03:30";49775,61;50027,05;25112,68;7647,55;255132,9;19096,78;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,25;13472,21;8192,9
"01/10/2023  03:45";49775,61;50027,17;25112,68;7647,55;255132,9;19096,8;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,28;13472,21;8192,9
"01/10/2023  04:00";49775,61;50027,28;25112,68;7647,55;255132,9;19096,82;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,29;13472,21;8192,9
"01/10/2023  04:15";49775,61;50027,39;25112,68;7647,55;255132,9;19096,84;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,31;13472,21;8192,9
"01/10/2023  04:30";49775,61;50027,49;25112,68;7647,55;255132,9;19096,86;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,33;13472,21;8192,9
"01/10/2023  04:45";49775,61;50027,62;25112,68;7647,55;255132,9;19096,88;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,35;13472,21;8192,9
"01/10/2023  05:00";49775,61;50027,74;25112,68;7647,55;255132,9;19096,9;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,37;13472,21;8192,9
"01/10/2023  05:15";49775,61;50027,87;25112,68;7647,55;255132,9;19096,92;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,38;13472,21;8192,9
"01/10/2023  05:30";49775,61;50028;25112,68;7647,55;255132,9;19096,94;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,39;13472,21;8192,9
"01/10/2023  05:45";49775,61;50028,12;25112,68;7647,55;255132,9;19096,96;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,41;13472,21;8192,9
"01/10/2023  06:00";49775,61;50028,25;25112,68;7647,55;255132,9;19096,98;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,42;13472,21;8192,9
"01/10/2023  06:15";49775,61;50028,38;25112,68;7647,55;255132,9;19097;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,44;13472,21;8192,9
"01/10/2023  06:30";49775,61;50028,52;25112,68;7647,55;255132,9;19097,02;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,45;13472,21;8192,9
"01/10/2023  06:45";49775,61;50028,65;25112,68;7647,55;255132,9;19097,04;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,47;13472,21;8192,9
"01/10/2023  07:00";49775,61;50028,77;25112,68;7647,55;255132,9;19097,06;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,49;13472,21;8192,9
"01/10/2023  07:15";49775,61;50028,9;25112,68;7647,55;255132,9;19097,09;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,5;13472,21;8192,9
"01/10/2023  07:30";49775,61;50029,05;25112,68;7647,55;255132,9;19097,11;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,52;13472,21;8192,9
"01/10/2023  07:45";49775,61;50029,21;25112,68;7647,55;255132,9;19097,13;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,54;13472,21;8192,9
"01/10/2023  08:00";49775,61;50029,37;25112,68;7647,55;255132,9;19097,15;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,55;13472,21;8192,9
"01/10/2023  08:15";49775,61;50029,51;25112,68;7647,55;255132,9;19097,17;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,58;13472,21;8192,9
"01/10/2023  08:30";49775,61;50029,67;25112,68;7647,55;255132,9;19097,19;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,6;13472,21;8192,9
"01/10/2023  08:45";49775,61;50029,83;25112,68;7647,55;255132,9;19097,21;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,61;13472,21;8192,9
"01/10/2023  09:00";49775,61;50030;25112,68;7647,55;255132,9;19097,24;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,63;13472,21;8192,9
"01/10/2023  09:15";49775,61;50030,14;25112,68;7647,55;255132,9;19097,26;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,66;13472,21;8192,9
"01/10/2023  09:30";49775,61;50030,3;25112,68;7647,55;255132,9;19097,28;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,68;13472,21;8192,9
"01/10/2023  09:45";49775,61;50030,45;25112,68;7647,55;255132,9;19097,3;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,7;13472,21;8192,9
"01/10/2023  10:00";49775,61;50030,61;25112,68;7647,55;255132,9;19097,32;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,72;13472,21;8192,9
"01/10/2023  10:15";49775,61;50030,76;25112,68;7647,55;255132,9;19097,34;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,74;13472,21;8192,9
"01/10/2023  10:30";49775,61;50030,9;25112,68;7647,55;255132,9;19097,36;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,76;13472,21;8192,9
"01/10/2023  10:45";49775,61;50031,05;25112,68;7647,55;255132,9;19097,38;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,78;13472,21;8192,9
"01/10/2023  11:00";49775,61;50031,21;25112,68;7647,55;255132,9;19097,4;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,8;13472,21;8192,9
"01/10/2023  11:15";49775,61;50031,37;25112,68;7647,55;255132,9;19097,42;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,81;13472,21;8192,9
"01/10/2023  11:30";49775,61;50031,53;25112,68;7647,55;255132,9;19097,43;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,83;13472,21;8192,9
"01/10/2023  11:45";49775,61;50031,66;25112,68;7647,55;255132,9;19097,45;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,85;13472,21;8192,9
"01/10/2023  12:00";49775,61;50031,82;25112,68;7647,55;255132,9;19097,47;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,87;13472,21;8192,9
"01/10/2023  12:15";49775,61;50031,98;25112,68;7647,55;255132,9;19097,49;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,89;13472,21;8192,9
"01/10/2023  12:30";49775,61;50032,14;25112,68;7647,55;255132,9;19097,52;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,91;13472,21;8192,9
"01/10/2023  12:45";49775,61;50032,3;25112,68;7647,55;255132,9;19097,53;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,92;13472,21;8192,9
"01/10/2023  13:00";49775,61;50032,44;25112,68;7647,55;255132,9;19097,56;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,94;13472,21;8192,9
"01/10/2023  13:15";49775,61;50032,61;25112,68;7647,55;255132,9;19097,58;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,95;13472,21;8192,9
"01/10/2023  13:30";49775,61;50032,77;25112,68;7647,55;255132,9;19097,6;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,97;13472,21;8192,9
"01/10/2023  13:45";49775,61;50032,94;25112,68;7647,55;255132,9;19097,62;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2351,98;13472,21;8192,9
"01/10/2023  14:00";49775,61;50033,08;25112,68;7647,55;255132,9;19097,64;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352;13472,21;8192,9
"01/10/2023  14:15";49775,61;50033,25;25112,68;7647,55;255132,9;19097,67;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,01;13473,02;8193,47
"01/10/2023  14:30";49775,61;50033,42;25112,68;7647,55;255132,9;19097,69;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,02;13473,5;8193,81
"01/10/2023  14:45";49775,61;50033,59;25112,68;7647,55;255132,9;19097,71;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,03;13473,79;8194,02
"01/10/2023  15:00";49775,61;50033,76;25112,68;7647,55;255132,9;19097,73;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,05;13474,23;8194,34
"01/10/2023  15:15";49775,61;50033,9;25112,68;7647,55;255132,9;19097,75;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,06;13474,53;8194,55
"01/10/2023  15:30";49775,61;50034,08;25112,68;7647,55;255132,9;19097,78;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,07;13474,83;8194,77
"01/10/2023  15:45";49775,61;50034,25;25112,68;7647,55;255132,9;19097,8;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,08;13475,13;8194,98
"01/10/2023  16:00";49775,61;50034,43;25112,68;7647,55;255132,9;19097,82;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,09;13475,44;8195,21
"01/10/2023  16:15";49775,61;50034,6;25112,68;7647,55;255132,9;19097,84;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,1;13475,8;8195,47
"01/10/2023  16:30";49775,61;50034,75;25112,68;7647,55;255132,9;19097,86;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,12;13476,1;8195,69
"01/10/2023  16:45";49775,61;50034,92;25112,68;7647,55;255132,9;19097,88;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,13;13476,39;8195,9
"01/10/2023  17:00";49775,61;50035,1;25112,68;7647,55;255132,9;19097,91;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,14;13476,62;8196,05
"01/10/2023  17:15";49775,61;50035,27;25112,68;7647,55;255132,9;19097,93;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,15;13477,31;8196,55
"01/10/2023  17:30";49775,61;50035,45;25112,68;7647,55;255132,9;19097,95;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,16;13478;8197,05
"01/10/2023  17:45";49775,61;50035,6;25112,68;7647,55;255132,9;19097,97;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,17;13478,61;8197,49
"01/10/2023  18:00";49775,61;50035,78;25112,68;7647,55;255132,9;19098;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,18;13479,29;8197,98
"01/10/2023  18:15";49775,61;50035,95;25112,68;7647,55;255132,9;19098,02;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,2;13479,83;8198,36
"01/10/2023  18:30";49775,61;50036,12;25112,68;7647,55;255132,9;19098,04;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,21;13480,42;8198,79
"01/10/2023  18:45";49775,61;50036,28;25112,68;7647,55;255132,9;19098,06;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,23;13480,89;8199,12
"01/10/2023  19:00";49775,61;50036,42;25112,68;7647,55;255132,9;19098,08;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,25;13481,31;8199,42
"01/10/2023  19:15";49775,61;50036,58;25112,68;7647,55;255132,9;19098,11;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,26;13481,74;8199,72
"01/10/2023  19:30";49775,61;50036,73;25112,68;7647,55;255132,9;19098,13;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,28;13482,01;8199,92
"01/10/2023  19:45";49775,61;50036,88;25112,68;7647,55;255132,9;19098,15;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,3;13482,43;8200,21
"01/10/2023  20:00";49775,61;50037,04;25112,68;7647,55;255132,9;19098,16;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,32;13482,73;8200,43
"01/10/2023  20:15";49775,61;50037,17;25112,68;7647,55;255132,9;19098,18;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,34;13483,11;8200,69
"01/10/2023  20:30";49775,61;50037,31;25112,68;7647,55;255132,9;19098,2;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,36;13483,37;8200,88
"01/10/2023  20:45";49775,61;50037,46;25112,68;7647,55;255132,9;19098,22;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,38;13483,64;8201,07
"01/10/2023  21:00";49775,61;50037,6;25112,68;7647,55;255132,9;19098,25;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,41;13484,03;8201,34
"01/10/2023  21:15";49775,61;50037,71;25112,68;7647,55;255132,9;19098,26;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,44;13484,3;8201,52
"01/10/2023  21:30";49775,61;50037,85;25112,68;7647,55;255132,9;19098,28;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,47;13484,57;8201,72
"01/10/2023  21:45";49775,61;50037,99;25112,68;7647,55;255132,9;19098,31;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,49;13484,91;8201,95
"01/10/2023  22:00";49775,61;50038,13;25112,68;7647,55;255132,9;19098,33;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,52;13485,07;8202,06
"01/10/2023  22:15";49775,61;50038,27;25112,68;7647,55;255132,9;19098,35;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,54;13485,32;8202,24
"01/10/2023  22:30";49775,61;50038,4;25112,68;7647,55;255132,9;19098,37;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,57;13485,59;8202,44
"01/10/2023  22:45";49775,61;50038,54;25112,68;7647,55;255132,9;19098,39;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,59;13485,59;8202,44
"01/10/2023  23:00";49775,61;50038,69;25112,68;7647,55;255132,9;19098,41;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,61;13485,59;8202,44
"01/10/2023  23:15";49775,61;50038,83;25112,68;7647,55;255132,9;19098,43;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,64;13485,59;8202,44
"01/10/2023  23:30";49775,61;50038,98;25112,68;7647,55;255132,9;19098,45;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,66;13485,59;8202,44
"01/10/2023  23:45";49775,61;50039,1;25112,68;7647,55;255132,9;19098,47;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,69;13485,59;8202,44
"02/10/2023  00:00";49775,61;50039,24;25112,68;7647,55;255132,9;19098,49;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,72;13485,59;8202,44
"02/10/2023  00:15";49775,61;50039,38;25112,68;7647,55;255132,9;19098,51;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,74;13485,59;8202,44
"02/10/2023  00:30";49775,61;50039,53;25112,68;7647,55;255132,9;19098,53;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,77;13485,59;8202,44
"02/10/2023  00:45";49775,61;50039,67;25112,68;7647,55;255132,9;19098,55;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,79;13485,59;8202,44
"02/10/2023  01:00";49775,61;50039,79;25112,68;7647,55;255132,9;19098,57;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,82;13485,59;8202,44
"02/10/2023  01:15";49775,61;50039,94;25112,68;7647,55;255132,9;19098,59;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,84;13485,59;8202,44
"02/10/2023  01:30";49775,61;50040,08;25112,68;7647,55;255132,9;19098,62;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,86;13485,59;8202,44
"02/10/2023  01:45";49775,61;50040,23;25112,68;7647,55;255132,9;19098,64;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,89;13485,59;8202,44
"02/10/2023  02:00";49775,61;50040,35;25112,68;7647,55;255133;19098,66;259323,4;35560,43;77019,4;47882,7;39435,95;212,99;2352,91;13485,59;8202,44
